node1,node2
361,981
533,15
381,160
351,280
104,104
685,520
840,426
64,511
366,443
4,271
152,395
423,48
2,194
107,671
92,11
356,474
175,15
368,1
211,408
6,284
107,375
181,947
83,212
107,859
865,2
581,133
201,133
695,607
336,338
62,107
349,262
892,314
738,698
410,286
63,183
160,776
450,1
161,363
353,129
142,86
155,31
184,80
327,107
305,809
88,369
176,381
368,841
17,74
333,279
183,460
160,242
160,820
557,917
425,256
15,216
4,252
245,245
822,908
63,138
170,116
335,592
333,256
232,707
304,88
160,66
333,169
371,124
486,367
5,215
748,182
316,758
214,351
142,105
458,813
485,455
378,296
409,81
183,695
212,70
237,107
339,245
222,459
97,5
971,799
182,377
187,518
443,527
47,113
305,698
170,261
434,215
87,473
28,588
164,137
380,177
314,256
355,255
498,246
64,238
80,142
4,520
53,312
471,472
114,925
44,661
252,272
123,681
226,371
169,165
375,424
295,295
180,350
285,281
440,440
188,74
333,427
438,494
252,625
601,480
121,651
572,822
75,135
164,428
42,372
199,197
116,513
338,107
124,282
141,5
198,207
918,199
291,420
278,621
269,288
283,169
19,506
1,1
141,913
334,15
129,123
293,365
13,337
494,395
269,236
381,948
84,510
134,5
265,12
358,9
81,16
777,86
438,30
245,455
569,602
93,291
65,51
70,186
812,448
498,43
323,99
35,878
518,21
506,510
165,409
90,220
377,352
389,295
83,142
57,610
375,66
177,479
649,466
494,107
198,94
125,937
339,547
37,35
37,38
411,517
599,304
649,246
444,547
191,348
339,438
5,132
18,223
245,171
147,615
44,805
6,204
87,41
22,92
161,264
4,56
380,321
380,387
105,163
418,467
434,368
13,980
272,446
339,32
301,655
58,195
442,545
97,533
290,206
279,62
150,191
107,207
64,115
492,105
187,932
600,588
373,92
373,121
291,256
813,413
674,510
128,490
81,663
748,367
65,450
525,729
370,333
65,515
377,104
362,51
60,122
290,494
317,485
28,953
333,577
443,76
166,283
581,420
172,526
549,187
109,108
165,443
607,243
375,455
182,283
469,66
129,694
552,54
391,389
65,130
303,159
223,222
608,7
69,87
933,447
597,651
44,86
84,119
971,729
499,213
135,75
371,249
486,129
748,121
333,288
482,162
412,243
251,169
564,258
145,21
411,58
400,68
142,427
925,925
176,344
167,207
301,368
157,386
241,209
115,883
170,188
443,333
932,63
284,472
89,215
542,544
820,180
487,452
59,481
368,896
19,510
157,60
181,526
133,482
971,190
743,516
401,621
597,597
627,333
932,859
610,142
665,665
518,106
372,115
549,800
371,288
464,409
13,698
214,413
103,86
64,292
905,316
20,82
813,280
281,164
419,611
249,353
115,301
221,226
174,377
404,45
281,286
12,441
86,58
295,386
424,256
16,68
430,86
163,115
981,981
113,160
245,114
353,87
557,256
307,872
256,256
249,131
152,21
389,389
107,69
460,679
372,42
179,376
356,107
327,5
434,440
480,142
162,15
342,149
123,337
306,69
346,214
44,160
504,856
68,549
215,201
473,434
363,371
281,301
174,395
720,525
621,11
473,536
237,253
105,357
896,896
261,367
376,394
150,381
2,13
815,208
927,931
359,504
154,62
333,105
424,240
266,9
593,199
991,812
918,820
86,687
142,28
155,518
317,312
300,64
283,61
361,339
160,90
107,306
177,515
651,624
123,116
554,340
258,831
114,255
406,11
156,180
166,140
362,820
810,222
305,517
68,183
856,504
58,812
489,434
2,826
547,527
569,8
160,200
4,57
166,209
25,23
139,15
115,63
301,340
412,809
483,464
180,191
264,441
182,394
353,86
307,177
160,230
269,334
92,520
800,287
21,254
371,81
936,484
683,683
518,513
94,94
20,96
86,18
905,215
892,896
121,145
423,13
37,29
429,592
53,215
907,191
167,199
13,266
162,31
165,816
96,285
390,438
16,81
232,133
820,42
108,509
342,381
142,46
6,5
359,359
936,284
845,56
20,127
107,142
533,393
169,170
333,154
424,30
376,18
548,816
387,381
485,86
342,214
537,460
285,83
17,41
13,113
326,143
80,395
200,498
375,889
169,860
326,64
815,859
84,336
269,254
859,408
117,106
460,419
128,81
174,174
925,113
181,347
80,474
105,154
334,335
425,401
756,268
280,170
560,106
107,434
36,29
210,233
494,576
139,45
613,614
971,416
232,201
473,412
165,105
252,880
363,249
405,126
434,421
14,389
170,64
10,11
320,351
23,171
229,536
425,130
184,508
519,20
374,5
480,667
180,343
358,573
813,585
170,114
343,278
7,672
409,506
930,238
248,309
4,89
180,105
389,292
206,776
546,80
261,82
211,84
160,310
83,115
400,20
169,255
880,56
483,351
538,173
65,169
292,231
426,486
17,314
337,115
565,430
515,93
222,222
128,169
138,86
282,173
142,166
83,654
71,49
252,389
332,529
160,136
151,753
424,151
375,91
485,423
232,457
569,358
157,381
159,160
86,306
550,106
61,379
581,450
225,459
137,298
33,33
3,845
545,29
5,284
81,303
266,498
191,207
393,157
433,405
17,120
333,983
337,883
121,550
482,74
366,82
238,158
466,64
971,321
519,518
107,954
284,160
615,856
167,130
361,245
533,322
129,460
282,188
314,226
45,282
420,18
95,820
116,114
100,494
58,424
446,15
649,421
560,775
84,253
82,160
494,225
991,520
170,491
205,847
280,493
18,365
8,498
221,403
490,607
377,292
309,95
47,318
101,155
21,459
328,329
450,438
307,218
529,720
473,29
41,202
333,527
41,171
499,61
238,159
531,531
9,44
41,85
160,352
13,118
21,187
62,333
156,645
426,292
113,169
114,533
280,121
165,166
356,142
94,205
51,593
83,101
504,504
434,859
57,685
851,342
102,192
21,221
51,917
61,103
132,132
809,304
16,255
160,181
366,226
13,184
482,419
357,480
27,28
489,2
665,254
424,124
404,932
426,257
0,103
211,249
166,4
409,33
515,122
592,274
210,927
318,426
548,340
22,520
526,542
88,924
314,52
895,333
148,402
0,238
107,329
281,160
820,159
218,218
971,754
82,362
263,151
254,106
666,62
851,377
295,394
420,133
64,395
160,519
184,183
6,194
250,368
394,947
469,477
183,212
158,2
116,160
333,281
184,189
214,211
405,16
62,769
159,820
152,70
86,44
173,546
464,82
285,138
494,209
132,424
812,83
608,11
413,214
160,368
661,505
509,68
215,128
592,448
317,1
188,80
183,256
441,282
132,859
357,486
159,89
309,228
743,743
525,765
3,859
320,379
408,138
163,106
745,221
107,83
932,165
435,533
496,459
420,137
13,302
1000,166
137,2
7,569
351,130
356,69
340,405
437,47
172,820
444,444
408,993
9,674
82,340
106,372
593,200
82,123
246,141
4,54
232,277
607,170
197,820
183,257
249,460
115,753
81,62
859,411
493,422
458,458
506,83
115,41
183,80
62,256
358,459
87,626
559,142
82,278
859,243
499,7
195,252
282,373
97,99
212,726
481,59
68,282
460,518
363,280
351,296
424,82
523,601
174,281
255,545
350,377
424,395
181,628
419,121
215,314
216,254
98,64
933,592
380,539
255,212
106,44
254,433
249,340
210,234
62,418
172,351
165,434
57,138
150,397
126,13
896,405
932,371
160,371
20,10
953,997
880,286
661,265
105,434
84,235
930,931
498,562
273,812
282,222
92,160
562,275
3,880
211,211
127,37
172,714
423,176
543,168
47,129
45,371
526,221
448,46
226,186
273,428
63,164
601,121
142,493
101,98
478,282
74,424
358,452
21,1
83,249
147,249
141,922
80,187
971,971
82,647
44,550
46,128
568,562
107,748
445,518
322,929
212,114
708,107
149,575
908,167
249,42
427,950
188,710
504,44
181,342
412,57
698,56
291,129
474,329
160,286
400,107
593,955
434,768
128,172
458,280
929,140
623,129
405,541
45,140
409,292
896,356
404,601
48,367
635,137
221,16
391,182
408,420
55,55
96,21
254,74
166,429
114,173
128,93
470,986
482,576
362,441
249,82
160,35
206,94
508,509
290,531
434,64
60,352
254,252
128,210
502,503
533,19
129,399
211,329
343,207
927,926
28,25
6,563
28,339
121,117
82,214
671,582
231,385
113,41
76,75
546,121
290,99
430,12
169,36
152,467
333,366
564,304
168,424
29,361
263,423
538,498
84,250
71,432
201,283
107,210
252,611
754,804
40,29
478,325
215,820
49,49
309,248
310,62
49,71
563,93
726,342
249,170
118,118
872,61
377,741
249,203
413,413
58,859
366,131
103,393
229,198
30,820
320,349
165,169
927,158
437,136
116,753
466,893
41,95
486,292
86,457
444,301
295,434
222,315
560,19
187,222
292,484
142,58
63,285
89,59
103,162
80,663
883,39
183,458
589,249
489,256
579,272
255,42
723,923
0,17
446,140
171,847
498,529
258,357
252,845
38,417
193,2
286,571
140,446
441,107
513,147
255,607
63,921
295,172
252,654
41,197
252,84
6,55
167,751
420,541
82,255
167,232
121,128
160,418
14,172
411,728
455,470
39,28
280,41
72,21
367,419
252,59
407,494
215,459
290,6
4,145
82,201
256,425
17,315
24,40
206,204
379,16
86,264
443,455
7,452
86,427
187,160
166,42
254,256
168,789
263,171
545,28
597,411
429,334
494,371
809,271
160,786
74,254
249,173
366,83
395,368
91,11
411,462
183,89
828,796
355,420
168,822
141,11
525,9
913,956
223,228
215,58
169,333
192,193
419,199
411,193
107,427
82,81
8,441
314,17
271,513
405,21
83,121
102,743
28,590
13,579
302,302
63,849
421,529
756,614
89,474
518,58
254,518
189,667
541,107
417,136
108,258
331,459
235,930
318,417
10,260
372,62
823,358
186,254
818,86
733,420
269,16
29,590
872,232
300,12
17,308
27,37
286,520
498,197
84,317
82,567
943,295
74,62
285,252
316,316
214,177
84,419
747,249
698,57
354,97
187,418
249,155
0,734
655,427
168,292
191,156
61,60
165,30
68,508
106,420
244,233
400,74
160,458
492,256
434,137
160,45
367,329
430,365
271,252
421,466
371,106
404,233
568,526
323,2
146,226
265,141
183,87
122,191
106,279
411,271
543,401
29,438
378,377
747,671
51,118
211,117
223,218
27,494
56,58
133,155
82,279
23,23
21,210
69,418
525,141
563,706
458,183
2,333
13,506
295,215
20,715
494,340
820,283
549,68
188,145
169,828
811,531
86,395
285,301
80,375
41,114
327,473
342,95
405,133
339,27
738,411
162,195
820,199
249,64
434,191
209,631
44,672
548,459
68,142
305,210
428,592
282,139
619,89
63,625
300,255
183,545
926,931
106,256
459,1
347,122
5,134
301,170
333,333
108,108
909,129
89,2
263,419
387,394
498,526
486,245
255,114
747,550
241,242
556,113
385,160
86,445
66,984
155,211
470,590
359,700
240,236
61,434
57,3
336,251
169,5
275,368
281,174
265,61
826,59
126,63
21,169
381,479
231,65
12,44
281,208
252,520
256,357
615,21
249,371
166,69
87,615
167,218
981,318
133,367
350,352
655,171
592,335
829,203
569,778
201,198
607,42
62,417
971,893
25,36
113,116
371,170
183,198
186,165
81,44
166,141
147,115
358,499
434,506
478,143
142,467
422,393
154,654
24,25
160,641
444,48
695,734
90,425
285,88
4,58
971,448
20,271
139,445
499,499
112,357
87,290
557,83
662,166
108,409
271,859
389,182
176,515
182,321
129,568
196,41
134,777
261,980
370,442
121,288
252,66
856,105
44,107
525,913
161,314
372,372
94,494
114,919
352,347
310,18
498,405
201,232
429,429
272,140
438,28
587,832
